dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,city,state,pv,pv_panel_direction,total_amount_of_pv,amount_of_south_facing_pv,amount_of_west_facing_pv,amount_of_east_facing_pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,gas_ert_min_time,gas_ert_max_time,water_ert_min_time,water_ert_max_time,egauge_min_time,egauge_max_time,use,grid,gen,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
4743,yes,Single-Family Home,,,yes,,,CCET - Control,,Austin,Texas,,,,,,,2011-11-22,,2011,2071.5,680.5,1028.0,363.0,0.0,0.0, , ,yes,yes, , ,,,,2012-04-11 18:59:48-05,2016-07-29 01:49:39-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5129,yes,Single-Family Home,,,yes,,,,,Austin,Texas,yes,South,5.145,5.145,0.0,,2011-11-22,,2008,1439.0,1439.0,0.0,0.0,0.0,0.0, ,yes,yes, , , ,1,,,2012-04-11 18:51:28-05,2019-04-18 18:29:27.479496-05,,,2012-03-19 19:00:00-05,2019-03-18 02:59:00-05,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5246,yes,Single-Family Home,,,yes,,,CCET - UT Text,,Austin,Texas,yes,South;West,6.25,2.25,4.0,,2011-11-22,,2009,1994.0,,,,,, , ,yes,yes, ,yes,,,,2012-04-11 18:59:51-05,2013-05-10 16:30:00-05,,,2012-05-02 19:00:00-05,2019-03-18 02:33:00-05,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5395,yes,Single-Family Home,,,yes,,,CCET - UT Text,,Austin,Texas,yes,South,3.96,3.96,,,2011-11-22,,2008,1556.0,,,,,, , ,yes, , , ,,,,2012-04-11 18:59:47-05,2019-04-18 15:18:29.272312-05,,,2012-11-01 19:00:00-05,2019-01-09 02:59:00-06,yes,yes,yes,yes,,,,,,,yes,,,,,,yes,,,,yes,yes,yes,,,yes,,,,,,,yes,,,yes,,yes,yes,yes,,,,,,yes,,,,,,,,,,,,yes,,,,,,,,,
5484,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,,,,,,2011-11-22,,,,,,,,, , , , , , ,,,,2012-04-11 18:59:48-05,2019-04-18 18:54:25.20649-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5738,yes,Single-Family Home,,,yes,,,,,Austin,Texas,yes,West,5.92,,5.92,,2011-11-22,,2008,2843.0,1457.0,1386.0,0.0,0.0,0.0, , ,yes, , , ,2,,,2012-04-11 18:15:09-05,2013-05-10 16:29:53-05,,,2012-05-02 19:00:00-05,2019-03-08 02:59:00-06,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5796,yes,Single-Family Home,,,yes,,,CCET - Control,,Austin,Texas,yes,South,4.25,4.25,0.0,,2011-11-22,,2007,1720.0,1720.0,0.0,0.0,0.0,0.0, , ,yes,yes, , ,,,,2012-04-11 18:39:24-05,2018-02-01 15:17:02-06,,,2012-05-02 19:00:00-05,2019-03-18 02:59:00-05,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5921,yes,Single-Family Home,,,yes,,,,,Austin,Texas,yes,,,,,,2011-11-22,,2008,2001.0,1435.0,566.0,0.0,0.0,0.0, , ,yes,yes, , ,,,,2012-04-11 18:59:47-05,2013-05-10 16:29:51-05,,,2014-06-10 00:00:00-05,2019-01-29 02:59:00-06,yes,yes,yes,yes,,,,,,,,,,,,,yes,,,,yes,yes,yes,,,yes,,,,,,,yes,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,,,yes,,yes,,,
6473,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,,,,,,2011-11-22,,,,,,,,, , , , , , ,,,,2012-04-11 18:56:21-05,2013-05-10 16:29:28-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6578,yes,Town Home,,,yes,,,CCET - Control,,Austin,Texas,yes,South;West,6.25,4.0,2.25,,2011-11-22,,2008,2020.0,,,,,, , ,yes,yes, , ,,,,2012-04-11 18:34:57-05,2019-04-18 16:18:55.450076-05,,,2013-01-11 00:00:00-06,2019-03-18 02:59:00-05,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
